Year,Month,Mixed paper,Corrugated cardboard,Office paper,Containers (RMC),Refuse (ICI Waste),"Total (excluding ""Refuse"")"
2021-2022,May,13.02,12.07,2.82,11.97,0,39.88
2021-2022,Jun,10.7,19.52,5.37,11.02,0,46.61
2021-2022,Jul,13.39,19.89,3.92,10.2,0,47.4
2021-2022,Aug,17.74,18.79,4.77,11.16,0,52.46
2021-2022,Sep,19.56,64.567,13.46,20.343,0,117.93
2021-2022,Oct,0,0,0,0,0,0
2021-2022,Nov,0,0,0,0,0,0
2021-2022,Dec,0,0,0,0,0,0
2021-2022,Jan,0,0,0,0,0,0
2021-2022,Feb,0,0,0,0,0,0
2021-2022,Mar,0,0,0,0,0,0
2021-2022,Total,85.52,153.637,31.51,74.193,3.25,344.86
